word,phonetic,definition,translation,tag,context,collins,oxford,bnc,frq
anhedonia,",ænhi:'dәjniә",n an inability to experience pleasure,n. [心理]快感缺乏,,She was a quite wealthy young womanin her mid-twenties who sought my attention becauseof a generalized anhedonia.,0,0,0,0
animate,'ænimeit,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life","vt. 使有生气, 赋予生命
a. 有生命的, 有生气的",gre,The animate and the inanimateare the same.,0,0,18570,12412
annoyance,ә'nɒiәns,"n. anger produced by some annoying irritation
n. something or someone that causes trouble; a source of unhappiness
n. the act of troubling or annoying someone","n. 烦恼, 打扰, 可厌之事
[法] 使人烦恼的事物, 麻烦事, 讨厌物",,"Most such criticism and confron-tation, usually made impulsively in anger or annoyance, doesmore to increase the amount of confusion in the world thanthe amount of enlightenment.",1,0,8811,10526
anonymity,.ænә'nimiti,n. the state of being anonymous,"n. 匿名, 姓氏不明
[计] 匿名信件",gre,"Confidentiality is essential to psychiatricpractice, and all case descriptions, there-fore, have beenaltered in name and in other particulars so as to preservethe anonymity of my patients without distorting theessential reality of our experience with each other.",0,0,11191,7498
antithesis,æn'tiθisis,"n. exact opposite
n. the juxtaposition of contrasting words or ideas to give a feeling of balance","n. 对偶, 对照, 对立面",gre,"As I have defined it,love is the antithesis of laziness.",0,0,15369,15063
antiwar,'ænti'wɔ:,,"a. 反战的
[法] 反战的",,"In his waiting room my therapist hadcopies of Ramparts and the New York Review of Books,both liberal journals with antiwar editorial policies.",0,0,0,0
anymore,'eni'mɔ:,r. at the present or from now on; usually used with a negative,"adv. 再也不, 不再",,Theschool system is no good anymore.,2,0,11630,1693
Apollo,ә'pɒlәu,n. (Greek mythology) Greek god of light; god of prophecy and poetry and music and healing; son of Zeus and Leto; twin brother of Artemis,"n. 阿波罗(太阳神), 美男子",,"Speaking in Orestes' defense, Apollo argued that he hadengineered the whole situation that had placed Orestes inthe position in which he had no choice but to kill hismother, and therefore Orestes really could not be heldresponsible.",0,0,12188,0
appallingly,ә'pɔ:liŋli,r. to an appalling extent,adv. 令人毛骨悚然地,,"While I findthe average quality of present parenting appallinglypoor, I have every reason to believe it far superior tothat of just a few generations back.",0,0,18888,28281
apparently,ә'pærәntli,r. from appearances alone,"adv. 表面上, 清楚地, 显然地",,"Strangely, my going out on alimb by revealing my genuinely positive feelings for her-something I felt I was really not supposed to do-rather thanseeming to hurt her, apparently was of great therapeuticbenefit and clearly represented the turning point in our worktogether.",4,1,1243,1407
apparition,.æpә'riʃәn,"n. a ghostly appearing figure
n. the appearance of a ghostlike figure
n. something existing in perception only","n. 鬼, 幽灵, 幻影",gre,Then it withers away-anephemeral apparition.,0,0,19404,12742
appreciative,ә'pri:ʃiәtiv,"s. feeling or expressive of gratitude
s. having or showing appreciation or a favorable critical judgment or opinion","a. 有欣赏力的, 感激的",,"In years past I wasmore appreciative of my wife's admiration than of hercriticism, and did as much to foster her dependency as I didher power.",1,0,13997,12559
apprenticeship,ә'prentisʃip,n. the position of apprentice,"n. 学徒身分, 见习(期)
[经] 学徒制, 学徒期",,"It wascustomary to send children as young as seven intoservice or apprenticeship, where learning wassecondary to the labor a child performed for his orher master.",1,0,7633,12684
appropriately,,r. in an appropriate manner,"adv. 适当的, 恰如其分的, 恰当的, 合适的",,"My own definition is: Transference is that set of ways ofperceiving and responding to the world which is developed inchildhood and which is usually entirely appropriate to thechildhood environment (indeed, often life-saving) but which isinappropriately transferred into the adult environment.",0,0,6089,6470
archangel,'ɑ:keindʒәl,n. an angel ranked above the highest rank in the celestial hierarchy,"n. 天使长, 第八级天使",,"Speculation on these matters is hardlydifferent in quality from speculation about such modelsof cosmic control as God having at His command armiesand choirs of archangels, angels, seraphims andcherubims to assist Him in the task of ordering theuniverse.",0,0,35648,26622
archer,'ɑ:tʃә,n. a person who is expert in the use of a bow and arrow,"n. 弓箭手, 射箭运动员",gre,"The archer sees the mark upon the path of theinfinite, and He bends you with His might thatHis arrow may go swift and far.",0,0,10346,14695
artistry,'ɑ:tistri,n a superior skill that you can learn by study and practice and observation,n. 艺术性,gre,"How can I be a good friend, father, husband or son unless Itake the opportunities that are available to attempt, withwhatever artistry I can command, to teach my beloved whatI know and give whatever assistance is in my power to giveto his or her personal journeys of spiritual growth?",0,0,19637,13683
ascension,ә'senʃәn,"n. (Christianity) celebration of the Ascension of Christ into heaven; observed on the 40th day after Easter
n. (New Testament) the rising of the body of Jesus into heaven on the 40th day after his Resurrection
n. (astronomy) the rising of a star above the horizon","n. 上升, 耶稣升天",,The notion that the plane of mankind's spiritualdevelopment is in a process of ascension may hardlyseem realistic to a generation disillusioned with thedream of progress.,0,0,26234,17809
assertion,ә'sә:ʃәn,n. a declaration that is made emphatically (as if no supporting evidence were necessary),"n. 断言, 主张
[法] 宣称, 断言, 维护",,,0,0,5380,5339
astronomically,",æstrə'nɔmikli",r. enormously,adv. 天文学上地；宇航学地；天体地,,The probability that by chance aloneI would select the same seven as my friend had in thesame sequence was astronomically low.,0,0,40772,29811
atone,ә'tәun,"v make amends for
v turn away from sin or do penitence","vi. 补偿, 弥补
[法] 赔偿, 补偿, 偿还",gre,"Aftermany years of lonely reflection and self-abrogation Orestesrequested the gods to relieve him of the curse on theHouse of Atreus and its visitations upon him through theFuries, stating his belief that he had succeeded in atoningfor the murder of his mother.",0,0,34962,22954
Atreus,'eitriu:s,n (Greek mythology) the king of Mycenae and father of Agamemnon and of Menelaus,n. [希神]阿特柔斯,,"Because of his crimeagainst them, the gods punished Atreus by placing a curseupon all his descendants.",0,0,0,0
atrocity,ә'trɒsiti,"n. the quality of being shockingly cruel and inhumane
n. an act of atrocious cruelty","n. 残暴, 凶恶, 暴行
[法] 暴行, 残酷, 残忍",gre,"I was oncedirected by the Chief of Staff of the Army to prepare ananalysis of the psychological causes of the My Laiatrocities and their subsequent cover-up, with recommen-dations for research that might prevent such behavior inthe future.",2,0,11990,8040
attractiveness,,n. sexual allure,"[经] 吸引性, 有利可图",,"Although an entire book could bewritten about each one, let me simply list, roughly in orderof their occurrence, some of the major conditions, desiresand attitudes that must be given up in the course of awholly successful evolving lifetime:The state of infancy, in which no external demandsneed be responded toThe fantasy of omnipotenceThe desire for total (including sexual) possession of one'sparent(s)The dependency of childhoodDistorted images of one's parents84 DISCIPLINEThe omnipotentiality of adolescenceThe ""freedom"" of uncommitmentThe agility of youthThe sexual attractiveness and/or potency ofyouth The fantasy of immortalityAuthority over one's childrenVarious forms of temporal powerThe independence of physical healthAnd, ultimately, the self and life itself.",0,0,11832,13562
austere,ɒ'stiә,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect","a. 严峻的, 禁欲的, 简朴的",gre,"What we primarily focused onat great length was her relationship with her parents, twomost intelligent and rational individuals who had providedwell for her economically but were extraordinarily distantfrom her emotionally in their intellectually austere way.",0,0,11570,13720
authoritarian,ɒ:.θɒri'tєәriәn,"n. a person who behaves in a tyrannical manner
s. characteristic of an absolute ruler or absolute rule; having absolute sovereignty
s. expecting unquestioning obedience","a. 独裁的, 独裁主义的",gre,It is for thisreason that Erich Fromm so aptly titled his study of Nazismand authoritarianism Escape from Freedom.,1,0,9058,7061
authorship,'ɔ:θәʃip,n. the act of initiating a new idea or theory or writing,"n. 原作者, 根源, 原创造者",,,0,0,16329,16130
avenge,ә'vendʒ,v take revenge for a perceived wrong,"vt. 为...报复, 报仇",gre,If the world is treating us wellwe have no need to avenge ourselves on it.,1,0,19144,15208
aver,ә'vә:,"v report or maintain
v to declare or affirm solemnly and formally as true","vt. 断言, 坚称
[法] 立证, 证明, 确证",gre,Its astonishing commercial success was avery gradual phenomenon.,0,0,32988,22804
avidly,,r. in an avid manner,adv. 贪心地；热心地,,"If not, she maybe seen avidly seeking to baby-sit for the infant children ofneighbors while almost totally ignoring the pleas of her ownolder child or children for attention.",0,0,18864,21008
awaken,ә'weikәn,"v. cause to become awake or conscious
v. make aware","vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到",,"I later learned that a friend, whilesleeping in my house two nights previously, hadawakened from a dream in which the same sevenimages occurred in the same sequence.",1,0,10051,5681
awesomeness,,n. The quality of being awesome.,n. awesome的变形,,"One might say, forinstance, that it was not laziness that prevented Adamand Eve from questioning God as to the reasons behindHis law but fear-fear in the face of the awesomenessof God, fear of the wrath of God.",0,0,0,0
awry,ә'rai,r. away from the correct or expected course,"a. 歪的, 错误的
adv. 歪斜地, 错地",gre,"Frequently the trick goes awry one wayor another, as when the sexual drives and stimuli are homo-sexual or when other forces-parental interference, mentalillness, conflicting responsibilities or mature self-discipline-supervene to prevent the bonding.",0,0,19292,14699
babied,,imp. & p. p. of Baby,"vt. 把…当作婴孩看待, 娇养（baby的过去式与过去分词形式）",,"All of us have desires to bebabied, to be nurtured without effort on our parts, to becared for by persons stronger than us who have ourinterests truly at heart.",0,0,0,0
Babylon,'bæbilәn,n. the chief city of ancient Mesopotamia and capital of the ancient kingdom of Babylonia,n. 巴比伦,,I'm the Whore ofBabylon.,0,0,20665,0
backfire,.bæk'faiә,"n. a loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine
n. a fire that is set intentionally in order to slow an approaching forest fire or grassfire by clearing a burned area in its path
n. a miscalculation that recoils on its maker
v. come back to the originator of an action with an undesired effect","n. 逆火, 回火, 放火
vi. 放逆火, 预先放火, 发生意外",,But evil backfires in the big picture of humanevolution.,1,0,14304,10577
backwash,'bækwɒʃ,"n the flow of air that is driven backwards by an aircraft propeller
n the consequences of an event (especially a catastrophic event)
n the wave that spreads behind a boat as it moves forward","n. (划桨引起的)反流, 激流区, 反响
[机] 逆吹",,After about a minute I felt myselftossed back-ward by the water-it must have been some kindof backwash wave-and a second later I was slammed downagainst the concrete of the pier.,0,0,35300,29254
badness,'bædnis,n. used of the degree of something undesirable e.g. pain or weather,"n. 坏, 恶, 不良",,They hate goodness because it revealstheir badness; they hate love because it reveals theirlaziness.,0,0,34724,29980
Baptist,'bæptist,n. follower of Baptistic doctrines,"n. 施洗礼者, 浸礼会教友",,"I could equally well have said theBaptist Church, Lutheran Church, Presbyterian Church, orany other.",0,0,12542,7211
barrack,'bærәk,"n. a building or group of buildings used to house military personnel
v. lodge in barracks","n. 兵舍, 军营
vt. 使驻兵营内",,,2,0,27280,0
barreling,,v put in barrels,[机] 滚光,,No sooner had I done this than a car didindeed come barreling around the curve with its wheelssix feet across the yellow line and barely missed me eventhough I was standing still on my side of the road.,0,0,0,0
bartender,'bɑ:.tendә,n. an employee who mixes and serves alcoholic drinks at a bar,"n. 酒保, 酒吧侍者",,,0,0,33875,7886
basely,'beisli,"r in a despicable, ignoble manner","adv. 下贱地, 卑鄙地",,By allowing herself to betreated basely she can feel superior.,0,0,0,0
bastard,'bæstәd,"n. the illegitimate offspring of unmarried parents
n. derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin","n. 私生子, 劣货
a. 私生的, 杂种的, 不合标准的",,"Here I had gone to himhumbly asking for just a little bit of help, a little bit ofadvice, and the bastard wasn't even willing to assumeenough responsibility even to try to help me, even to do hisjob as director of the clinic.",2,0,3750,6280
bearer,'bєәrә,n. a messenger who bears or presents,"n. 带信人, 票据持有人, 搬运者
[经] 持票人, 持有人, 不(无)记名",,,1,0,9679,11977
beatific,.bi:ә'tifik,s. experiencing or bestowing celestial joy,"a. 至福的, 赐福的, 极乐的",gre,"He even had to learn that expressing his ownneeds, anger, resentments and expectations was every bit asDependency 105necessary to the mental health of his family as his self-sacri-fice, and therefore that love must be manifested in confronta-tion as much as in beatific acceptance.",0,0,40527,24400
beatitude,bi:'ætitju:d,n. one of the eight sayings of Jesus at the beginning of the Sermon on the Mount; in Latin each saying begins with `beatus' (blessed),"n. 至福, 祝福",,,0,0,48254,30087
beautifully,'bju:tifuli,r. in a beautiful manner,"adv. 美好地, 漂亮地",,,0,1,4992,6205
becket,'bekit,"n. (Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170)
n. (nautical) a short line with an eye at one end and a knot at the other; used to secure loose items on a ship","n. 索环, 环扣",,,0,0,25685,0
bedevil,bi'devl,"v treat cruelly
v be confusing or perplexing to; cause to be unable to think clearly","vt. 使痛苦, 使苦恼, 虐待",,"Because of thistumultuousness, mental illness has been localized in theunconscious by most thinkers, as if the unconsciouswere the seat of psychopathology and symptoms werelike subterranean demons that surface to bedevil theindividual.",0,0,19676,19299
bedraggle,bi'drægl,"v. make wet and dirty, as from rain",vt. 弄湿,,"Despite her wealth and her college education shelooked like an impoverished, bedraggled and agedimmigrant woman.",0,0,0,0
behavioral,bi'heivjәrәl,a. of or relating to behavior,a. 行为的,,"Consequently it is one of the behavioral hallmarksof passive dependent people in marriage that their role differ-entiation is rigid, and they seek to increase rather thandiminish mutual dependency so as to make marriage morerather than less of a trap.",0,0,0,3752
behaviorist,,n. a psychologist who subscribes to behaviorism,"n. 行为主义者
[医] 行为主义者",,I do not belongto any particular school of psychiatry or psychotherapy; Iam not simply a Freudian or Jungian or Adlerian orbehaviorist or gestaltist.,0,0,0,22841
behold,bi'hәuld,v. see with attention,"vt. 看到, 注视
vi. 看",gre,"They are inevitably, therefore, people ofgreat power, although the world may generally behold themas quite ordinary people, since more often than not they willexercise their power in quiet or even hidden ways.",1,0,13905,10497
belligerence,bi'lidʒәrәns,n. hostile or warlike attitude or nature,"n. 交战, 好战性, 斗争性",gre,,0,0,32682,27292
belligerently,,r. with hostility; in a belligerent hostile manner,adv. 好战地；好斗地,,Somewhatbelligerently they asked me to define the purpose andfunction of my wife.,0,0,34098,35382
bellow,'belәu,"n. a very loud utterance (like the sound of an animal)
n. United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)
v. make a loud noise, as of animal",v. 怒吼,,"We have been lookingScientific Tunnel Vision 236for the burning bush, the parting of the sea, the bellowingvoice from heaven.",1,0,10691,12281
bemoan,bi'mәun,v regret strongly,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹",,,1,0,18756,15143
benares,bi'nɑ:riz,,n. 贝拿勒斯（印度东北部城市瓦腊纳西Varanasi的旧称）；贝拿勒斯银丝绸,,,0,0,49349,0
beneficence,bi'nefisәns,"n. doing good; feeling beneficent
n. the quality of being kind or helpful or generous","n. 慈善, 善行, 赠物
[经] 捐款",,"The unconscious may communicate to us when we areawake with as much elegance and beneficence as when weare asleep, although in a slightly different form.",0,0,40526,29556
beneficent,bi'nefisәnt,"a. doing or producing good
s. generous in assistance to the poor","a. 仁慈的, 慈善的, 善行的",,Forparents to feed their children a pap of white lies is notonly considered acceptable but is thought to be lovingand beneficent.,0,0,23645,24931
benignant,bi'nignәnt,s. characterized by kindness and warm courtesy especially of a king to his subjects,"a. 善良的, 仁慈的, 和蔼的, 有益的
[医] 良性的",,,0,0,0,0
benjamin,'bendʒәmin,n. (Old Testament) the youngest and best-loved son of Jacob and Rachel and one of the twelve forebears of the tribes of Israel,[医] 安息香,,,0,0,4061,0
bequeath,bi'kwi:ð,v. leave or give by will after one's death,"vt. 遗赠, 遗留
[法] 遗赠, 遗留...给",gre,"These ""possessions"" are ideallyacquired through the self-discipline and consistent, genuinecaring of their parents; they are the most precious gifts ofthemselves that mothers and fathers can bequeath.",1,0,14409,16145
bestseller,,n a book that has had a large and rapid sale,n. 畅销书,,It did not appear on the nationalbestseller lists until five years after its publication in 1978-afact for which I am extremely grateful.,0,0,20822,0
betterment,'betәmәnt,n. an improvement that adds to the value of a property or facility,"n. 改进, 改善, (不动产)增值
[法] 改良, 改善, 地产增值",,"A person may, for instance, suffer a career inpolitics for the primary purpose of utilizing political power forthe betterment of the human race.",0,0,23226,21004
bility,'baɪlɪtɪ,, 古？克二氏预测系数,,It is never completelysolved; for the entirety of our lives we must continuallyassess and reassess where our responsibilities lie in theever-changing course of events.,0,0,0,0
biochemical,.baiәu'kemikl,a. of or relating to biochemistry; involving chemical processes in living organisms,"a. 生物化学的
[机] 生物化学的",,"It does not, for instance, takeinto account physical or biochemical factors which may beof large and even predominant significance in certaincases.",1,0,10822,14303
biofeedback,"'baiәu,fi:dbæk",n. a training program in which a person is given information about physiological processes (heart rate or blood pressure) that is not normally available with the goal of gaining conscious control of them,[化] 生物反馈,,"It is also reasonable to ask whether such processesas biofeedback, meditation, yoga, and psychotherapyitself are not techniques of discipline, but to this I wouldreply that, to my way of thinking, they are technicalaids rather than basic tech-niques.",0,0,0,20470
blandly,'blændli,r. in a bland manner,"adv. 温和地, 柔和地",,,0,0,23154,25145
blatant,'bleitәnt,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry","a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的",gre,I was aghast at what seemed tome his painfully blatant male chauvinism.,1,0,11081,10787
blinder,'blaindә,"n blind consisting of a leather eyepatch sewn to the side of the halter that prevents a horse from seeing something on either side
a unable to see
s unable or unwilling to perceive or understand
s not based on reason or evidence",n. 眼罩,,"They suffer from a kind of tunnel vision, apsychologically self-imposed psychological set of blinderswhich prevents them from turning their attention to therealm of the spirit.",0,0,0,0
blindly,'blaindli,"r. without seeing or looking
r. without preparation or reflection; without a rational basis","adv. 轻率地, 盲目地",,"Specifically, I believe thatthe outlook of most scientific-minded people toward thereality of God is almost as parochial as the outlook ofsimple peasants who blindly follow the faith of theirfathers.",0,0,12187,12435
blissfully,'blɪsfəlɪ,r. in a blissful manner,"adv. 幸福地, 充满喜悦地",,"Character-disordered people, however,make disastrous parents, blissfully unaware that theyoften treat their children with vicious destructiveness.",0,0,18755,19235
blithely,,r in a joyous manner,"adv. 欢乐的, 轻率的, 无忧无虑的, 愉快的",,It shouldnot be blithely criticized.,0,0,20183,17644
blockage,'blɒkidʒ,"n. an obstruction in a pipe or tube
n. the act of blocking","n. 封锁, 妨碍
[化] 堵塞",gre,,1,0,15240,15456
blurt,blә:t,v utter impulsively,"vt. 冲口说出, 脱口说出",gre,,1,0,16314,10143
